Photo_ID,Date,Year,Primary_Condition,Public_Condition,Overall_Score,Curation_Status,Confidence,Sequence_ID,Reason
TPC-00018,2021-07-16,2021,UNKNOWN,things-that-existed-for-me,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-004,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00019,2021-07-16,2021,UNKNOWN,things-that-existed-for-me,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-004,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00020,2021-07-18,2021,UNKNOWN,something-happened-here,5.3,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00021,2021-07-22,2021,CROSSING,between-places,8.4,CURATED,HIGH,,"The transitional space is made visually purposeful through direction, rhythm, depth or movement."
TPC-00022,2021-07-23,2021,UNKNOWN,things-that-existed-for-me,8.5,CURATED,HIGH,,The framing gives a clear visual reason for attention to stop and contributes a distinct atmosphere or geometry.
TPC-00023,2021-07-23,2021,UNKNOWN,while-we-were-here,8.6,CURATED,HIGH,,"Timing, gesture and spatial relationships make co-presence visually active rather than merely populated."
TPC-00024,2021-07-24,2021,UNKNOWN,something-happened-here,5.3,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00025,2021-07-24,2021,UNKNOWN,the-things-i-didnt-go-looking-for,6.8,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00026,2021-07-31,2021,UNKNOWN,the-things-i-didnt-go-looking-for,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-005,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00027,2021-07-31,2021,UNKNOWN,while-we-were-here,5.4,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-005,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00028,2021-07-31,2021,UNKNOWN,between-places,5.9,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00029,2021-08-04,2021,UNKNOWN,the-things-i-didnt-go-looking-for,8.2,CURATED,MEDIUM,,"The unplanned encounter is photographically resolved through colour, form, timing or visual surprise."
TPC-00030,2021-08-18,2021,UNKNOWN,things-that-existed-for-me,8.3,CURATED,MEDIUM,,The framing gives a clear visual reason for attention to stop and contributes a distinct atmosphere or geometry.
TPC-00031,2021-08-23,2021,UNKNOWN,the-things-i-didnt-go-looking-for,5.3,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00032,2021-08-29,2021,UNKNOWN,something-happened-here,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00033,2021-08-31,2021,UNKNOWN,while-we-were-here,6.7,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00034,2021-09-05,2021,UNKNOWN,something-happened-here,8.5,CURATED,HIGH,,Transformation or residue is visually legible; the frame has sufficient structure to carry the trace without explanatory dependence.
TPC-00035,2021-09-08,2021,UNKNOWN,the-things-i-didnt-go-looking-for,5.2,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00037,2022-04-17,2022,UNKNOWN,something-happened-here,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-006,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00038,2022-04-17,2022,UNKNOWN,the-things-i-didnt-go-looking-for,6.7,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-006,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00039,2022-04-18,2022,UNKNOWN,the-things-i-didnt-go-looking-for,8.3,CURATED,MEDIUM,,"The unplanned encounter is photographically resolved through colour, form, timing or visual surprise."
TPC-00040,2022-04-18,2022,UNKNOWN,while-we-were-here,8.6,CURATED,HIGH,,"Timing, gesture and spatial relationships make co-presence visually active rather than merely populated."
TPC-00041,2022-04-26,2022,SOLITARY PRESENCE,between-places,8.5,CURATED,HIGH,,"The transitional space is made visually purposeful through direction, rhythm, depth or movement."
TPC-00042,2022-04-27,2022,UNKNOWN,nothing-happened-here,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00043,2022-05-14,2022,UNKNOWN,while-we-were-here,5.2,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00044,2022-05-14,2022,UNKNOWN,something-happened-here,5.2,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00046,2022-05-17,2022,UNKNOWN,the-things-i-didnt-go-looking-for,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00047,2022-05-20,2022,UNKNOWN,nothing-happened-here,6.7,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00048,2022-05-23,2022,UNKNOWN,while-we-were-here,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00237,2022-05-23,2022,UNKNOWN,something-happened-here,8.1,CURATED,MEDIUM,,Transformation or residue is visually legible; the frame has sufficient structure to carry the trace without explanatory dependence.
TPC-00049,2022-05-25,2022,UNKNOWN,things-that-existed-for-me,8.4,CURATED,HIGH,,The framing gives a clear visual reason for attention to stop and contributes a distinct atmosphere or geometry.
TPC-00050,2022-07-05,2022,UNKNOWN,the-things-i-didnt-go-looking-for,8.0,CURATED,HIGH,,"The unplanned encounter is photographically resolved through colour, form, timing or visual surprise."
TPC-00051,2022-07-15,2022,UNKNOWN,between-places,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00052,2022-08-27,2022,UNKNOWN,while-we-were-here,6.7,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00053,2022-11-12,2022,UNKNOWN,,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00054,2022-11-25,2022,UNKNOWN,nothing-happened-here,8.7,CURATED,HIGH,,"The unoccupied scene sustains attention through light, spatial tension and a palpable sense of witnessed quiet."
TPC-00238,2022-12-11,2022,UNKNOWN,while-we-were-here,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00055,2022-12-31,2022,UNKNOWN,something-happened-here,8.2,CURATED,MEDIUM,,Transformation or residue is visually legible; the frame has sufficient structure to carry the trace without explanatory dependence.
TPC-00056,2023-04-29,2023,UNKNOWN,something-happened-here,8.0,CURATED,HIGH,,Transformation or residue is visually legible; the frame has sufficient structure to carry the trace without explanatory dependence.
TPC-00239,2023-08-16,2023,UNKNOWN,things-that-existed-for-me,8.6,CURATED,HIGH,,The framing gives a clear visual reason for attention to stop and contributes a distinct atmosphere or geometry.
TPC-00057,2023-10-28,2023,UNKNOWN,things-that-existed-for-me,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00240,2023-10-29,2023,UNKNOWN,things-that-existed-for-me,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00059,2023-10-29,2023,UNKNOWN,between-places,8.0,CURATED,HIGH,SEQ-CANDIDATE-007,"The transitional space is made visually purposeful through direction, rhythm, depth or movement."
TPC-00060,2023-10-29,2023,UNKNOWN,nothing-happened-here,8.6,CURATED,HIGH,,"The unoccupied scene sustains attention through light, spatial tension and a palpable sense of witnessed quiet."
TPC-00241,2023-11-17,2023,UNKNOWN,things-that-existed-for-me,8.0,CURATED,HIGH,,The framing gives a clear visual reason for attention to stop and contributes a distinct atmosphere or geometry.
TPC-00061,2023-12-23,2023,UNKNOWN,the-things-i-didnt-go-looking-for,5.3,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00062,2024-01-31,2024,CROSSING,while-we-were-here,7.4,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00242,2024-03-05,2024,UNKNOWN,something-happened-here,8.2,CURATED,MEDIUM,,Transformation or residue is visually legible; the frame has sufficient structure to carry the trace without explanatory dependence.
TPC-00063,2024-04-19,2024,UNKNOWN,the-things-i-didnt-go-looking-for,5.2,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00064,2024-05-06,2024,UNKNOWN,between-places,6.7,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00243,2024-05-06,2024,UNKNOWN,between-places,5.4,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-008,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00244,2024-05-06,2024,UNKNOWN,between-places,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-008,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00065,2024-05-10,2024,UNKNOWN,nothing-happened-here,5.3,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00245,2024-05-15,2024,UNKNOWN,between-places,5.3,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00066,2024-05-27,2024,UNKNOWN,the-things-i-didnt-go-looking-for,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-009,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00067,2024-05-27,2024,CROSSING,between-places,7.9,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-009,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00068,2024-05-27,2024,UNKNOWN,the-things-i-didnt-go-looking-for,6.1,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-010,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00069,2024-05-27,2024,UNKNOWN,the-things-i-didnt-go-looking-for,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-010,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00070,2024-05-27,2024,UNKNOWN,between-places,5.3,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00071,2024-06-05,2024,UNKNOWN,between-places,6.7,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-011,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00072,2024-06-05,2024,UNKNOWN,,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-011,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00073,2024-06-16,2024,UNKNOWN,between-places,6.7,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00246,2024-06-23,2024,UNKNOWN,between-places,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00074,2024-06-26,2024,UNKNOWN,while-we-were-here,5.2,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00075,2024-06-27,2024,UNKNOWN,while-we-were-here,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00076,2024-06-28,2024,UNKNOWN,,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-012,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00077,2024-06-28,2024,UNKNOWN,the-things-i-didnt-go-looking-for,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-012,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00078,2024-06-28,2024,UNKNOWN,nothing-happened-here,6.7,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-012,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00079,2024-06-29,2024,UNKNOWN,the-things-i-didnt-go-looking-for,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-013,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00080,2024-06-29,2024,UNKNOWN,while-we-were-here,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-013,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00081,2024-06-29,2024,UNKNOWN,while-we-were-here,5.2,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-013,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00082,2024-06-29,2024,ABSENCE,nothing-happened-here,8.5,CURATED,HIGH,SEQ-CANDIDATE-013,"The unoccupied scene sustains attention through light, spatial tension and a palpable sense of witnessed quiet."
TPC-00083,2024-07-02,2024,UNKNOWN,while-we-were-here,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-014,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00084,2024-07-02,2024,UNKNOWN,while-we-were-here,6.7,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-014,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00085,2024-07-07,2024,UNKNOWN,while-we-were-here,9.0,CURATED,HIGH,,"Timing, gesture and spatial relationships make co-presence visually active rather than merely populated."
TPC-00086,2024-07-07,2024,ATTENTION,nothing-happened-here,7.5,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00087,2024-07-11,2024,UNKNOWN,while-we-were-here,5.2,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00088,2024-07-11,2024,UNKNOWN,the-things-i-didnt-go-looking-for,6.6,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00247,2024-07-13,2024,ARRANGEMENT,,8.9,CURATED,HIGH,,Photographically strong and non-redundant evidence of Presence.
TPC-00089,2024-07-13,2024,ABSENCE,nothing-happened-here,7.9,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00248,2024-07-13,2024,UNKNOWN,,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-015,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00090,2024-07-13,2024,UNKNOWN,while-we-were-here,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-015,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00091,2024-07-14,2024,UNKNOWN,,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-016,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00249,2024-07-14,2024,UNKNOWN,the-things-i-didnt-go-looking-for,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-016,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00250,2024-07-14,2024,UNKNOWN,the-things-i-didnt-go-looking-for,8.5,CURATED,HIGH,SEQ-CANDIDATE-017,"The unplanned encounter is photographically resolved through colour, form, timing or visual surprise."
TPC-00251,2024-07-14,2024,UNKNOWN,between-places,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-017,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00092,2024-07-18,2024,UNKNOWN,between-places,6.7,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00093,2024-07-20,2024,UNKNOWN,while-we-were-here,5.3,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00094,2024-07-20,2024,CO-PRESENCE,between-places,8.8,CURATED,HIGH,,"The transitional space is made visually purposeful through direction, rhythm, depth or movement."
TPC-00095,2024-07-20,2024,UNKNOWN,nothing-happened-here,5.2,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00096,2024-07-27,2024,UNKNOWN,the-things-i-didnt-go-looking-for,5.2,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00252,2024-07-27,2024,UNKNOWN,between-places,6.7,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00097,2024-07-29,2024,UNKNOWN,things-that-existed-for-me,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00253,2024-07-30,2024,UNKNOWN,while-we-were-here,5.2,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00254,2024-08-11,2024,UNKNOWN,between-places,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-018,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00255,2024-08-11,2024,UNKNOWN,while-we-were-here,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-018,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00256,2024-08-11,2024,UNKNOWN,things-that-existed-for-me,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-018,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00257,2024-08-11,2024,UNKNOWN,between-places,8.5,SEQUENCE_MEMBER,HIGH,SEQ-TRANSIT-2024-01,"The transitional space is made visually purposeful through direction, rhythm, depth or movement."
TPC-00258,2024-08-11,2024,UNKNOWN,between-places,8.5,SEQUENCE_MEMBER,HIGH,SEQ-TRANSIT-2024-01,"The transitional space is made visually purposeful through direction, rhythm, depth or movement."
TPC-00098,2024-08-11,2024,UNKNOWN,while-we-were-here,5.9,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-019,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00259,2024-08-11,2024,CROSSING,,7.9,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-019,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00260,2024-08-11,2024,UNKNOWN,,5.9,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-019,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00261,2024-08-11,2024,UNKNOWN,,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-020,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00099,2024-08-11,2024,UNKNOWN,between-places,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-020,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00262,2024-08-15,2024,UNKNOWN,something-happened-here,5.3,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00263,2024-08-29,2024,UNKNOWN,things-that-existed-for-me,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-021,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00100,2024-08-29,2024,UNKNOWN,,5.4,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-021,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00101,2024-08-29,2024,UNKNOWN,things-that-existed-for-me,6.7,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-021,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00264,2024-08-29,2024,UNKNOWN,between-places,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-022,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00102,2024-08-29,2024,UNKNOWN,,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-022,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00265,2024-09-04,2024,UNKNOWN,between-places,6.0,ARCHIVE_ONLY,MEDIUM,,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00103,2024-09-04,2024,UNKNOWN,things-that-existed-for-me,6.0,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-023,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
TPC-00104,2024-09-04,2024,UNKNOWN,between-places,5.3,ARCHIVE_ONLY,MEDIUM,SEQ-CANDIDATE-023,Valid TPC evidence retained privately; below the 8.0 public threshold or redundant beside a stronger photograph in the same year and Condition.
